"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Bachelor of Theology",Course,"Australian Catholic University (ACU)","AUD 22,720.02","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Bachelor of Theology (Honours)",Course,"Australian Catholic University (ACU)","AUD 30,000.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Bachelor of Theology / Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Theology / Bachelor of Laws (Honours)",Course,"Australian Catholic University (ACU)","AUD 22,720.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Theology/ Bachelor of Philosophy",Course,"Australian Catholic University (ACU)","AUD 22,720.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Theology/Bachelor of Global Studies",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Psychological Science (Honours)",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Psychological Science / Bachelor of Laws (Honours)",Course,"Australian Catholic University (ACU)","AUD 24,336.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Psychological Science/ Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 30,600.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Psychological Science/Bachelor of Arts",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Psychological Science/Bachelor of Commerce",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Psychological Science/Bachelor of Exercise and Sports Science",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Social Work",Course,"Australian Catholic University (ACU)","AUD 100,256.00","Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Bachelor of Social Work (Honours)",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Bachelor of Speech Pathology",Course,"Australian Catholic University (ACU)","AUD 39,472.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Sport and Outdoor Education",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Teaching/Bachelor of Arts (Humanities)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Bachelor of Nursing (Enrolled Nurses)",Course,"Australian Catholic University (ACU)","AUD 29,520.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Nursing (Honours)",Course,"Australian Catholic University (ACU)","AUD 29,080.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Nursing / Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 29,079.99","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Nutrition Science",Course,"Australian Catholic University (ACU)","AUD 24,336.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Bachelor of Nutrition Science (Honours)",Course,"Australian Catholic University (ACU)","AUD 23,624.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Nutrition Science/ Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Bachelor of Occupational Therapy",Course,"Australian Catholic University (ACU)","AUD 39,472.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Philosophy/Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Physical Activity and Health Science",Course,"Australian Catholic University (ACU)","AUD 23,623.98","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Physiotherapy",Course,"Australian Catholic University (ACU)","AUD 39,472.00","North Sydney Campus,Brisbane Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Psychological Science",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Exercise Science/Bachelor of Applied Public Health",Course,"Australian Catholic University (ACU)","AUD 23,624.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of High Performance Sport",Course,"Australian Catholic University (ACU)","AUD 23,376.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of High Performance Sport (Honours)",Course,"Australian Catholic University (ACU)","AUD 24,080.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Inclusive Education and Disability Studies",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Strathfield Campus","Australian Education",0,0
"Bachelor of Information Technology",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",1,1
"Bachelor of Information Technology/Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of International Development Studies",Course,"Australian Catholic University (ACU)","AUD 24,103.98","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Bachelor of Laws (Graduate Entry)",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Bachelor of Laws / Bachelor of Global Studies",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Nursing",Course,"Australian Catholic University (ACU)","AUD 29,080.02","North Sydney Campus,Melbourne Campus,Brisbane Campus,Canberra Campus,Ballarat Campus,Strathfield Campus,Blacktown Campus","Australian Education",0,0
"Bachelor of Creative Arts",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Early Childhood Education (Birth to Five Years)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Education (Early Childhood and Primary)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Education (Primary)",Course,"Australian Catholic University (ACU)","AUD 26,325.04","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Educational Studies",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Exercise and Health Science",Course,"Australian Catholic University (ACU)","AUD 23,624.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Exercise and Sports Science",Course,"Australian Catholic University (ACU)","AUD 23,624.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Exercise and Sports Science (Honours)",Course,"Australian Catholic University (ACU)","AUD 23,624.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Exercise and Sports Science/Bachelor of Nutrition Science",Course,"Australian Catholic University (ACU)","AUD 23,624.00","North Sydney Campus,Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Exercise Science / Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 23,624.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Biomedical Science / Bachelor of Applied Public Health",Course,"Australian Catholic University (ACU)","AUD 24,336.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Biomedical Science / Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 24,336.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Biomedical Science / Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 24,336.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Business Administration / Bachelor of Global Studies",Course,"Australian Catholic University (ACU)","AUD 25,504.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Business Administration / Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Bachelor of Commerce",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Commerce (Honours)",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Commerce / Bachelor of Laws",Course,"Australian Catholic University (ACU)","AUD 30,000.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Bachelor of Commerce/Bachelor of Business Administration",Course,"Australian Catholic University (ACU)","AUD 25,504.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Commerce/Bachelor of Global Studies",Course,"Australian Catholic University (ACU)","AUD 25,504.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Arts",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Arts (Honours)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Arts (Psychology)",Course,"Australian Catholic University (ACU)","AUD 24,336.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Arts / Bachelor of Global Studies",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
